date,count,package
2014-06-19,118,agricolae
2014-06-20,131,agricolae
2014-06-21,57,agricolae
2014-06-22,54,agricolae
2014-06-23,114,agricolae
2014-06-24,96,agricolae
2014-06-25,105,agricolae
2014-06-26,86,agricolae
2014-06-27,91,agricolae
2014-06-28,34,agricolae
2014-06-29,38,agricolae
2014-06-30,98,agricolae
2014-07-01,90,agricolae
2014-07-02,123,agricolae
2014-07-03,121,agricolae
2014-07-04,69,agricolae
2014-07-05,32,agricolae
2014-07-06,43,agricolae
2014-07-07,118,agricolae
2014-07-08,124,agricolae
2014-07-09,106,agricolae
2014-07-10,110,agricolae
2014-07-11,105,agricolae
2014-07-12,57,agricolae
2014-07-13,28,agricolae
2014-07-14,76,agricolae
2014-07-15,81,agricolae
2014-07-16,109,agricolae
2014-07-17,70,agricolae
2014-07-18,43,agricolae
2014-07-19,44,agricolae
2014-07-20,49,agricolae
2014-07-21,78,agricolae
2014-07-22,70,agricolae
2014-07-23,69,agricolae
2014-07-24,71,agricolae
2014-07-25,56,agricolae
2014-07-26,33,agricolae
2014-07-27,44,agricolae
2014-07-28,61,agricolae
2014-07-29,78,agricolae
2014-07-30,74,agricolae
2014-07-31,61,agricolae
2014-08-01,88,agricolae
2014-08-02,32,agricolae
2014-08-03,34,agricolae
2014-08-04,85,agricolae
2014-08-05,103,agricolae
2014-08-06,76,agricolae
2014-08-07,80,agricolae
2014-08-08,66,agricolae
2014-08-09,51,agricolae
2014-08-10,52,agricolae
2014-08-11,86,agricolae
2014-08-12,108,agricolae
2014-08-13,91,agricolae
2014-08-14,72,agricolae
2014-08-15,64,agricolae
2014-08-16,41,agricolae
2014-08-17,34,agricolae
2014-08-18,90,agricolae
2014-08-19,76,agricolae
2014-08-20,68,agricolae
2014-08-21,121,agricolae
2014-08-22,112,agricolae
2014-08-23,39,agricolae
2014-08-24,56,agricolae
2014-08-25,70,agricolae
2014-08-26,60,agricolae
2014-08-27,104,agricolae
2014-08-28,93,agricolae
2014-08-29,89,agricolae
2014-08-30,47,agricolae
2014-08-31,45,agricolae
2014-09-01,78,agricolae
2014-09-02,155,agricolae
2014-09-03,160,agricolae
2014-09-04,108,agricolae
2014-09-05,129,agricolae
2014-09-06,74,agricolae
2014-09-07,77,agricolae
2014-09-08,129,agricolae
2014-09-09,122,agricolae
2014-09-10,158,agricolae
2014-09-11,109,agricolae
2014-09-12,111,agricolae
2014-09-13,67,agricolae
2014-09-14,50,agricolae
2014-09-15,81,agricolae
2014-09-16,149,agricolae
2014-09-17,129,agricolae
2014-09-18,82,agricolae
2014-09-19,140,agricolae
2014-09-20,58,agricolae
2014-09-21,46,agricolae
2014-09-22,19,agricolae
2014-09-23,12,agricolae
2014-09-24,136,agricolae
2014-09-25,157,agricolae
2014-09-26,123,agricolae
2014-09-27,65,agricolae
2014-09-28,73,agricolae
2014-09-29,118,agricolae
2014-09-30,106,agricolae
2014-10-01,161,agricolae
2014-10-02,99,agricolae
2014-10-03,186,agricolae
2014-10-04,56,agricolae
2014-10-05,48,agricolae
2014-10-06,136,agricolae
2014-10-07,184,agricolae
2014-10-08,175,agricolae
2014-10-09,190,agricolae
2014-10-10,108,agricolae
2014-10-11,81,agricolae
2014-10-12,68,agricolae
2014-10-13,169,agricolae
2014-10-14,152,agricolae
2014-10-15,130,agricolae
2014-10-16,132,agricolae
2014-10-17,109,agricolae
2014-10-18,85,agricolae
2014-10-19,46,agricolae
2014-10-20,167,agricolae
2014-10-21,164,agricolae
2014-10-22,154,agricolae
2014-10-23,161,agricolae
2014-10-24,99,agricolae
2014-10-25,49,agricolae
2014-10-26,65,agricolae
2014-10-27,200,agricolae
2014-10-28,179,agricolae
2014-10-29,162,agricolae
2014-10-30,216,agricolae
2014-10-31,120,agricolae
2014-11-01,77,agricolae
2014-11-02,106,agricolae
2014-11-03,182,agricolae
2014-11-04,173,agricolae
2014-11-05,155,agricolae
2014-11-06,188,agricolae
2014-11-07,109,agricolae
2014-11-08,55,agricolae
2014-11-09,58,agricolae
2014-11-10,154,agricolae
2014-11-11,130,agricolae
2014-11-12,197,agricolae
2014-11-13,214,agricolae
2014-11-14,111,agricolae
2014-11-15,74,agricolae
2014-11-16,57,agricolae
2014-11-17,119,agricolae
2014-11-18,162,agricolae
2014-11-19,102,agricolae
2014-11-20,123,agricolae
2014-11-21,98,agricolae
2014-11-22,61,agricolae
2014-11-23,58,agricolae
2014-11-24,143,agricolae
2014-11-25,216,agricolae
2014-11-26,135,agricolae
2014-11-27,122,agricolae
2014-11-28,94,agricolae
2014-11-29,63,agricolae
2014-11-30,54,agricolae
2014-12-01,117,agricolae
2014-12-02,137,agricolae
2014-12-03,116,agricolae
2014-12-04,217,agricolae
2014-12-05,121,agricolae
2014-12-06,66,agricolae
2014-12-07,71,agricolae
2014-12-08,88,agricolae
2014-12-09,126,agricolae
2014-12-10,150,agricolae
2014-12-11,133,agricolae
2014-12-12,131,agricolae
2014-12-13,60,agricolae
2014-12-14,56,agricolae
2014-12-15,102,agricolae
2014-12-16,108,agricolae
2014-12-17,116,agricolae
2014-12-18,70,agricolae
2014-12-19,81,agricolae
2014-12-20,64,agricolae
2014-12-21,46,agricolae
2014-12-22,56,agricolae
2014-12-23,23,agricolae
2014-12-24,27,agricolae
2014-12-25,24,agricolae
2014-12-26,29,agricolae
2014-12-27,50,agricolae
2014-12-28,29,agricolae
2014-12-29,49,agricolae
2014-12-30,38,agricolae
2014-12-31,44,agricolae
2015-01-01,20,agricolae
2015-01-02,33,agricolae
2015-01-03,32,agricolae
2015-01-04,53,agricolae
2015-01-05,73,agricolae
2015-01-06,153,agricolae
2015-01-07,104,agricolae
2015-01-08,95,agricolae
2015-01-09,79,agricolae
2015-01-10,56,agricolae
2015-01-11,54,agricolae
2015-01-12,126,agricolae
2015-01-13,96,agricolae
2015-01-14,98,agricolae
2015-01-15,122,agricolae
2015-01-16,128,agricolae
2015-01-17,60,agricolae
2015-01-18,69,agricolae
2015-01-19,142,agricolae
2015-01-20,100,agricolae
2015-01-21,115,agricolae
2015-01-22,104,agricolae
2015-01-23,71,agricolae
2015-01-24,72,agricolae
2015-01-25,54,agricolae
2015-01-26,134,agricolae
2015-01-27,128,agricolae
2015-01-28,100,agricolae
2015-01-29,122,agricolae
2015-01-30,97,agricolae
2015-01-31,43,agricolae
2015-02-01,47,agricolae
2015-02-02,102,agricolae
2015-02-03,128,agricolae
2015-02-04,105,agricolae
2015-02-05,97,agricolae
2015-02-06,70,agricolae
2015-02-07,47,agricolae
2015-02-08,47,agricolae
2015-02-09,125,agricolae
2015-02-10,117,agricolae
2015-02-11,144,agricolae
2015-02-12,124,agricolae
2015-02-13,128,agricolae
2015-02-14,49,agricolae
2015-02-15,37,agricolae
2015-02-16,144,agricolae
2015-02-17,215,agricolae
2015-02-18,184,agricolae
2015-02-19,143,agricolae
2015-02-20,125,agricolae
2015-02-21,51,agricolae
2015-02-22,63,agricolae
2015-02-23,175,agricolae
2015-02-24,201,agricolae
2015-02-25,227,agricolae
2015-02-26,155,agricolae
2015-02-27,122,agricolae
2015-02-28,78,agricolae
2015-03-01,63,agricolae
2015-03-02,227,agricolae
2015-03-03,178,agricolae
2015-03-04,232,agricolae
2015-03-05,141,agricolae
2015-03-06,103,agricolae
2015-03-07,72,agricolae
2015-03-08,68,agricolae
2015-03-09,214,agricolae
2015-03-10,190,agricolae
2015-03-11,173,agricolae
2015-03-12,138,agricolae
2015-03-13,134,agricolae
2015-03-14,59,agricolae
2015-03-15,70,agricolae
2015-03-16,161,agricolae
2015-03-17,191,agricolae
2015-03-18,177,agricolae
2015-03-19,155,agricolae
2015-03-20,127,agricolae
2015-03-21,61,agricolae
2015-03-22,66,agricolae
2015-03-23,162,agricolae
2015-03-24,232,agricolae
2015-03-25,357,agricolae
2015-03-26,173,agricolae
2015-03-27,109,agricolae
2015-03-28,72,agricolae
2015-03-29,72,agricolae
2015-03-30,134,agricolae
2015-03-31,205,agricolae
2015-04-01,225,agricolae
2015-04-02,122,agricolae
2015-04-03,103,agricolae
2015-04-04,62,agricolae
2015-04-05,74,agricolae
2015-04-06,114,agricolae
2015-04-07,208,agricolae
2015-04-08,204,agricolae
2015-04-09,175,agricolae
2015-04-10,100,agricolae
2015-04-11,124,agricolae
2015-04-12,77,agricolae
2015-04-13,170,agricolae
2015-04-14,168,agricolae
2015-04-15,163,agricolae
2015-04-16,171,agricolae
2015-04-17,134,agricolae
2015-04-18,185,agricolae
2015-04-19,126,agricolae
2015-04-20,217,agricolae
2015-04-21,268,agricolae
2015-04-22,316,agricolae
2015-04-23,159,agricolae
2015-04-24,174,agricolae
2015-04-25,112,agricolae
2015-04-26,92,agricolae
2015-04-27,175,agricolae
2015-04-28,163,agricolae
2015-04-29,160,agricolae
2015-04-30,180,agricolae
2015-05-01,89,agricolae
2015-05-02,72,agricolae
2015-05-03,78,agricolae
2015-05-04,154,agricolae
2015-05-05,176,agricolae
2015-05-06,188,agricolae
2015-05-07,145,agricolae
2015-05-08,134,agricolae
2015-05-09,106,agricolae
2015-05-10,80,agricolae
2015-05-11,126,agricolae
2015-05-12,125,agricolae
2015-05-13,176,agricolae
2015-05-14,114,agricolae
2015-05-15,108,agricolae
2015-05-16,79,agricolae
2015-05-17,79,agricolae
2015-05-18,122,agricolae
2015-05-19,161,agricolae
2015-05-20,223,agricolae
2015-05-21,198,agricolae
2015-05-22,122,agricolae
2015-05-23,75,agricolae
2015-05-24,44,agricolae
2015-05-25,96,agricolae
2015-05-26,129,agricolae
2015-05-27,99,agricolae
2015-05-28,180,agricolae
2015-05-29,134,agricolae
2015-05-30,76,agricolae
2015-05-31,90,agricolae
2015-06-01,130,agricolae
2015-06-02,161,agricolae
2015-06-03,142,agricolae
2015-06-04,157,agricolae
2015-06-05,127,agricolae
2015-06-06,76,agricolae
2015-06-07,67,agricolae
2015-06-08,222,agricolae
2015-06-09,173,agricolae
2015-06-10,168,agricolae
2015-06-11,176,agricolae
2015-06-12,120,agricolae
2015-06-13,72,agricolae
2015-06-14,87,agricolae
2015-06-15,157,agricolae
2015-06-16,220,agricolae
2015-06-17,192,agricolae
2015-06-18,188,agricolae
2015-06-19,136,agricolae
2015-06-20,80,agricolae
2015-06-21,62,agricolae
2015-06-22,120,agricolae
2015-06-23,192,agricolae
2015-06-24,119,agricolae
2015-06-25,97,agricolae
2015-06-26,85,agricolae
2015-06-27,63,agricolae
2015-06-28,56,agricolae
2015-06-29,153,agricolae
2015-06-30,145,agricolae
2015-07-01,128,agricolae
2015-07-02,109,agricolae
2015-07-03,79,agricolae
2015-07-04,66,agricolae
2015-07-05,71,agricolae
2015-07-06,137,agricolae
2015-07-07,110,agricolae
2015-07-08,136,agricolae
2015-07-09,142,agricolae
2015-07-10,91,agricolae
2015-07-11,39,agricolae
2015-07-12,34,agricolae
