date,package,count
2018-03-06,agricolae,469
2018-03-07,agricolae,440
2018-03-08,agricolae,412
2018-03-09,agricolae,416
2018-03-10,agricolae,236
2018-03-11,agricolae,163
2018-03-12,agricolae,414
2018-03-13,agricolae,450
2018-03-14,agricolae,361
2018-03-15,agricolae,419
2018-03-16,agricolae,376
2018-03-17,agricolae,200
2018-03-18,agricolae,195
2018-03-19,agricolae,440
2018-03-20,agricolae,379
2018-03-21,agricolae,517
2018-03-22,agricolae,399
2018-03-23,agricolae,376
2018-03-24,agricolae,187
2018-03-25,agricolae,210
2018-03-26,agricolae,452
2018-03-27,agricolae,468
2018-03-28,agricolae,481
2018-03-29,agricolae,406
2018-03-30,agricolae,236
2018-03-31,agricolae,164
2018-04-01,agricolae,184
2018-04-02,agricolae,480
2018-04-03,agricolae,471
2018-04-04,agricolae,539
2018-04-05,agricolae,494
2018-04-06,agricolae,424
2018-04-07,agricolae,278
2018-04-08,agricolae,250
2018-04-09,agricolae,453
2018-04-10,agricolae,407
2018-04-11,agricolae,453
2018-04-12,agricolae,580
2018-04-13,agricolae,551
2018-04-14,agricolae,317
2018-04-15,agricolae,298
2018-04-16,agricolae,553
2018-04-17,agricolae,533
2018-04-18,agricolae,424
2018-04-19,agricolae,542
2018-04-20,agricolae,518
2018-04-21,agricolae,281
2018-04-22,agricolae,265
2018-04-23,agricolae,525
2018-04-24,agricolae,666
2018-04-25,agricolae,705
2018-04-26,agricolae,531
2018-04-27,agricolae,446
2018-04-28,agricolae,268
2018-04-29,agricolae,236
2018-04-30,agricolae,449
2018-05-01,agricolae,412
2018-05-02,agricolae,637
2018-05-03,agricolae,632
2018-05-04,agricolae,486
2018-05-05,agricolae,263
2018-05-06,agricolae,258
2018-05-07,agricolae,430
2018-05-08,agricolae,478
2018-05-09,agricolae,513
2018-05-10,agricolae,430
2018-05-11,agricolae,408
2018-05-12,agricolae,255
2018-05-13,agricolae,235
2018-05-14,agricolae,476
2018-05-15,agricolae,474
2018-05-16,agricolae,455
2018-05-17,agricolae,500
2018-05-18,agricolae,432
2018-05-19,agricolae,214
2018-05-20,agricolae,242
2018-05-21,agricolae,413
2018-05-22,agricolae,599
2018-05-23,agricolae,578
2018-05-24,agricolae,642
2018-05-25,agricolae,488
2018-05-26,agricolae,217
2018-05-27,agricolae,254
2018-05-28,agricolae,417
2018-05-29,agricolae,538
2018-05-30,agricolae,466
2018-05-31,agricolae,411
2018-06-01,agricolae,399
2018-06-02,agricolae,220
2018-06-03,agricolae,199
2018-06-04,agricolae,467
2018-06-05,agricolae,473
2018-06-06,agricolae,530
2018-06-07,agricolae,423
2018-06-08,agricolae,372
2018-06-09,agricolae,211
2018-06-10,agricolae,164
2018-06-11,agricolae,481
2018-06-12,agricolae,388
2018-06-13,agricolae,478
2018-06-14,agricolae,513
2018-06-15,agricolae,285
2018-06-16,agricolae,179
2018-06-17,agricolae,168
2018-06-18,agricolae,397
2018-06-19,agricolae,486
2018-06-20,agricolae,457
2018-06-21,agricolae,409
2018-06-22,agricolae,298
2018-06-23,agricolae,208
2018-06-24,agricolae,225
2018-06-25,agricolae,424
2018-06-26,agricolae,473
2018-06-27,agricolae,446
2018-06-28,agricolae,343
2018-06-29,agricolae,302
2018-06-30,agricolae,190
2018-07-01,agricolae,200
2018-07-02,agricolae,357
2018-07-03,agricolae,330
2018-07-04,agricolae,343
2018-07-05,agricolae,373
2018-07-06,agricolae,260
2018-07-07,agricolae,130
2018-07-08,agricolae,134
2018-07-09,agricolae,417
2018-07-10,agricolae,377
2018-07-11,agricolae,344
2018-07-12,agricolae,266
2018-07-13,agricolae,275
2018-07-14,agricolae,177
2018-07-15,agricolae,130
2018-07-16,agricolae,335
2018-07-17,agricolae,335
2018-07-18,agricolae,367
2018-07-19,agricolae,366
2018-07-20,agricolae,315
2018-07-21,agricolae,142
2018-07-22,agricolae,179
2018-07-23,agricolae,365
2018-07-24,agricolae,374
2018-07-25,agricolae,278
2018-07-26,agricolae,297
2018-07-27,agricolae,287
2018-07-28,agricolae,117
2018-07-29,agricolae,128
2018-07-30,agricolae,315
2018-07-31,agricolae,351
2018-08-01,agricolae,299
